2025-05-14 10:06:00 - evaluate_genome: {'genome_id': 4347680416, 'execution_time': 0.0004200935363769531, 'success': True}
2025-05-14 10:06:00 - evaluate_genome: {'genome_id': 4347680176, 'execution_time': 0.0001709461212158203, 'success': True}
2025-05-14 10:06:01 - evaluate_genome: {'genome_id': 4347679264, 'execution_time': 0.0003001689910888672, 'success': True}
2025-05-14 10:06:02 - evaluate_genome: {'genome_id': 4347679168, 'execution_time': 0.0001728534698486328, 'success': True}
2025-05-14 10:06:02 - evaluate_genome: {'genome_id': 4347537248, 'execution_time': 0.00019693374633789062, 'success': True}
2025-05-14 10:06:03 - evaluate_genome: {'genome_id': 4347537200, 'execution_time': 0.00017213821411132812, 'success': True}
2025-05-14 10:06:03 - evaluate_genome: {'genome_id': 4347538544, 'execution_time': 0.00016808509826660156, 'success': True}
2025-05-14 10:06:04 - evaluate_genome: {'genome_id': 4347537152, 'execution_time': 0.00018024444580078125, 'success': True}
2025-05-14 10:06:05 - evaluate_genome: {'genome_id': 4347536576, 'execution_time': 0.00014400482177734375, 'success': True}
2025-05-14 10:06:05 - evaluate_genome: {'genome_id': 4347599024, 'execution_time': 0.00017189979553222656, 'success': True}
2025-05-14 10:06:06 - evaluate_genome: {'genome_id': 4347596912, 'execution_time': 0.00016689300537109375, 'success': True}
2025-05-14 10:06:07 - evaluate_genome: {'genome_id': 4347600704, 'execution_time': 0.0001857280731201172, 'success': True}
2025-05-14 10:06:07 - evaluate_genome: {'genome_id': 4347597920, 'execution_time': 0.0002529621124267578, 'success': True}
2025-05-14 10:06:08 - evaluate_genome: {'genome_id': 4347596960, 'execution_time': 0.0001728534698486328, 'success': True}
2025-05-14 10:06:08 - evaluate_genome: {'genome_id': 4347597776, 'execution_time': 0.0002167224884033203, 'success': True}
2025-05-14 10:06:09 - evaluate_genome: {'genome_id': 4347600224, 'execution_time': 0.00014519691467285156, 'success': True}
2025-05-14 10:06:10 - evaluate_genome: {'genome_id': 4347597056, 'execution_time': 0.00016117095947265625, 'success': True}
2025-05-14 10:06:10 - evaluate_genome: {'genome_id': 4347638592, 'execution_time': 0.0001709461212158203, 'success': True}
2025-05-14 10:06:11 - evaluate_genome: {'genome_id': 4347638160, 'execution_time': 0.00015926361083984375, 'success': True}
2025-05-14 10:06:11 - evaluate_genome: {'genome_id': 4347639216, 'execution_time': 0.0001678466796875, 'success': True}
2025-05-14 10:06:12 - evaluate_genome: {'genome_id': 4347638640, 'execution_time': 0.0002570152282714844, 'success': True}
2025-05-14 10:06:13 - evaluate_genome: {'genome_id': 4347638880, 'execution_time': 0.00040078163146972656, 'success': True}
2025-05-14 10:06:13 - evaluate_genome: {'genome_id': 4347640896, 'execution_time': 0.00015211105346679688, 'success': True}
2025-05-14 10:06:14 - evaluate_genome: {'genome_id': 4347641616, 'execution_time': 0.00015282630920410156, 'success': True}
2025-05-14 10:06:15 - evaluate_genome: {'genome_id': 4347640944, 'execution_time': 0.0001819133758544922, 'success': True}
2025-05-14 10:06:15 - evaluate_genome: {'genome_id': 4347761088, 'execution_time': 0.0003800392150878906, 'success': True}
2025-05-14 10:06:16 - evaluate_genome: {'genome_id': 4347761856, 'execution_time': 0.00015115737915039062, 'success': True}
2025-05-14 10:06:16 - evaluate_genome: {'genome_id': 4347762240, 'execution_time': 0.00016999244689941406, 'success': True}
2025-05-14 10:06:17 - evaluate_genome: {'genome_id': 4347762288, 'execution_time': 0.00026607513427734375, 'success': True}
2025-05-14 10:06:18 - evaluate_genome: {'genome_id': 4347763200, 'execution_time': 0.00015783309936523438, 'success': True}
2025-05-14 10:06:18 - evaluate_genome: {'genome_id': 4347763344, 'execution_time': 0.00016379356384277344, 'success': True}
2025-05-14 10:06:19 - evaluate_genome: {'genome_id': 4347761520, 'execution_time': 0.00017404556274414062, 'success': True}
2025-05-14 10:06:19 - evaluate_genome: {'genome_id': 4347763776, 'execution_time': 0.00015425682067871094, 'success': True}
2025-05-14 10:06:20 - evaluate_genome: {'genome_id': 4347781760, 'execution_time': 0.00015616416931152344, 'success': True}
2025-05-14 10:06:21 - evaluate_genome: {'genome_id': 4347781904, 'execution_time': 0.00015997886657714844, 'success': True}
2025-05-14 10:06:21 - evaluate_genome: {'genome_id': 4347782720, 'execution_time': 0.0001621246337890625, 'success': True}
2025-05-14 10:06:22 - evaluate_genome: {'genome_id': 4347783200, 'execution_time': 0.00014400482177734375, 'success': True}
2025-05-14 10:06:22 - evaluate_genome: {'genome_id': 4347783296, 'execution_time': 0.0001690387725830078, 'success': True}
2025-05-14 10:06:23 - evaluate_genome: {'genome_id': 4347781280, 'execution_time': 0.00014281272888183594, 'success': True}
2025-05-14 10:06:24 - evaluate_genome: {'genome_id': 4347784256, 'execution_time': 0.0001499652862548828, 'success': True}
2025-05-14 10:06:24 - evaluate_genome: {'genome_id': 4347784736, 'execution_time': 0.0001430511474609375, 'success': True}
2025-05-14 10:06:25 - evaluate_genome: {'genome_id': 4347781376, 'execution_time': 0.00015687942504882812, 'success': True}
2025-05-14 10:06:26 - evaluate_genome: {'genome_id': 4347802432, 'execution_time': 0.000148773193359375, 'success': True}
2025-05-14 10:06:26 - evaluate_genome: {'genome_id': 4347802480, 'execution_time': 0.00017690658569335938, 'success': True}
2025-05-14 10:06:27 - evaluate_genome: {'genome_id': 4347802912, 'execution_time': 0.00014710426330566406, 'success': True}
2025-05-14 10:06:27 - evaluate_genome: {'genome_id': 4347803344, 'execution_time': 0.00015783309936523438, 'success': True}
2025-05-14 10:06:28 - evaluate_genome: {'genome_id': 4347803776, 'execution_time': 0.0001621246337890625, 'success': True}
2025-05-14 10:06:29 - evaluate_genome: {'genome_id': 4347804688, 'execution_time': 0.00014591217041015625, 'success': True}
2025-05-14 10:06:29 - evaluate_genome: {'genome_id': 4347805120, 'execution_time': 0.0002238750457763672, 'success': True}
2025-05-14 10:06:30 - evaluate_genome: {'genome_id': 4347804256, 'execution_time': 0.00016188621520996094, 'success': True}
2025-05-14 10:06:31 - evaluate_genome: {'genome_id': 4348059760, 'execution_time': 0.0001418590545654297, 'success': True}
2025-05-14 10:06:31 - evaluate_genome: {'genome_id': 4347729904, 'execution_time': 0.00015997886657714844, 'success': True}
2025-05-14 10:06:32 - evaluate_genome: {'genome_id': 4347814912, 'execution_time': 0.00015592575073242188, 'success': True}
2025-05-14 10:06:33 - evaluate_genome: {'genome_id': 4347817312, 'execution_time': 0.00015687942504882812, 'success': True}
2025-05-14 10:06:33 - evaluate_genome: {'genome_id': 4347815152, 'execution_time': 0.00015592575073242188, 'success': True}
2025-05-14 10:06:34 - evaluate_genome: {'genome_id': 4347975856, 'execution_time': 0.00015783309936523438, 'success': True}
2025-05-14 10:06:34 - evaluate_genome: {'genome_id': 4347968768, 'execution_time': 0.00015497207641601562, 'success': True}
2025-05-14 10:06:35 - evaluate_genome: {'genome_id': 4347815008, 'execution_time': 0.0001609325408935547, 'success': True}
2025-05-14 10:06:36 - evaluate_genome: {'genome_id': 4347967232, 'execution_time': 0.00015926361083984375, 'success': True}
2025-05-14 10:06:36 - evaluate_genome: {'genome_id': 4347966608, 'execution_time': 0.0002219676971435547, 'success': True}
2025-05-14 10:06:37 - evaluate_genome: {'genome_id': 4348016192, 'execution_time': 0.00015115737915039062, 'success': True}
2025-05-14 10:06:38 - evaluate_genome: {'genome_id': 4348015088, 'execution_time': 0.00017118453979492188, 'success': True}
2025-05-14 10:06:38 - evaluate_genome: {'genome_id': 4347814672, 'execution_time': 0.00013589859008789062, 'success': True}
2025-05-14 10:06:39 - evaluate_genome: {'genome_id': 4348038736, 'execution_time': 0.00043272972106933594, 'success': True}
2025-05-14 10:06:40 - evaluate_genome: {'genome_id': 4347600752, 'execution_time': 0.00016427040100097656, 'success': True}
2025-05-14 10:06:40 - evaluate_genome: {'genome_id': 4347597968, 'execution_time': 0.00016999244689941406, 'success': True}
2025-05-14 10:06:41 - evaluate_genome: {'genome_id': 4347966416, 'execution_time': 0.00015473365783691406, 'success': True}
2025-05-14 10:06:42 - evaluate_genome: {'genome_id': 4348113824, 'execution_time': 0.0001819133758544922, 'success': True}
2025-05-14 10:06:43 - evaluate_genome: {'genome_id': 4348076192, 'execution_time': 0.00012803077697753906, 'success': True}
2025-05-14 10:06:44 - evaluate_genome: {'genome_id': 4347976864, 'execution_time': 0.0001480579376220703, 'success': True}
2025-05-14 10:06:44 - evaluate_genome: {'genome_id': 4347968528, 'execution_time': 0.00016307830810546875, 'success': True}
